player_name,player_name_clean,draft_year,position,position_group,school,draft_team,draft_round,draft_pick,hof,category,side,age,to,allpro,probowls,seasons_started,w_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,AV_year1,AV_year2,AV_year3,AV_year4,AV_4yr_sum,AV_4yr_avg,AV_4yr_avg_percentile,car_av_filled
Brian Young,brian young,2000,DT,DL,texas-el paso,stl,5,139,False,DL,D,23.0,2008.0,0,0,6,39.0,17.0,123.0,0,0,0,0,0,0,0,0,0,0,0,230,1,22.5,1,8,3,7,19,4.75,0.812328767,45
Bubba Franks,bubba franks,2000,TE,TE,miami (fl),gnb,1,14,False,TE,O,22.0,2008.0,0,3,6,20.0,19.0,122.0,1,1,31,1,0,0,0,0,262,2347,32,0,0,0.0,3,3,4,3,13,3.25,0.828996283,23
Byron Frisch,byron frisch,2000,DE,DL,byu,ten,3,93,False,DL,D,23.0,2002.0,0,0,0,2.0,,23.0,0,0,0,0,0,0,0,0,0,0,0,18,0,5.0,0,1,1,0,2,0.5,0.267990074,2
Cedric Woodard,cedric woodard,2000,DT,DL,texas,bal,6,191,False,DL,D,23.0,2004.0,0,0,2,14.0,,61.0,0,0,0,0,0,0,0,0,0,0,0,78,0,1.0,0,1,1,6,8,2.0,0.532876712,15
Chad Clifton,chad clifton,2000,OT,OL,tennessee,gnb,2,44,False,OL,O,24.0,2011.0,0,2,10,72.0,72.0,165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,7,4,9,25,6.25,0.808035714,92
Chad Morton,chad morton,2000,RB,RB,usc,nor,5,166,False,RB,O,23.0,2006.0,0,0,0,10.0,3.0,93.0,0,0,0,0,0,89,382,0,48,419,1,9,0,0.0,3,0,2,4,9,2.25,0.563172043,10
Chad Pennington,chad pennington,2000,QB,QB,marshall,nyj,1,18,False,QB,O,24.0,2010.0,0,0,5,55.0,41.0,89.0,1632,2471,17823,102,64,180,465,7,0,7,0,0,0,0.0,0,0,12,7,19,4.75,0.799539171,62
Charles Lee,charles lee,2000,WR,WR,central florida,gnb,7,242,False,WR,O,22.0,2005.0,0,0,0,7.0,1.0,44.0,0,0,0,0,0,2,14,0,72,957,3,8,0,0.0,1,0,0,3,4,1.0,0.464471404,7
Chris Cole,chris cole,2000,WR,WR,texas aandm,den,3,70,False,WR,O,22.0,2003.0,0,0,0,1.0,1.0,35.0,0,0,0,0,0,2,8,0,12,164,0,12,0,0.0,0,1,0,0,1,0.25,0.280762565,1
Chris Combs,chris combs,2000,DE,DL,duke,pit,6,173,False,DL,D,23.0,2002.0,0,0,0,1.0,1.0,10.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,1,0,0,0,1,0.25,0.183622829,1
Chris Hovan,chris hovan,2000,DT,DL,boston col.,min,1,25,False,DL,D,22.0,2009.0,0,0,10,56.0,23.0,156.0,0,0,0,0,0,0,0,0,0,0,0,309,0,22.0,5,6,10,6,27,6.75,0.901369863,69
Chris McIntosh,chris mcintosh,2000,OT,OL,wisconsin,sea,1,22,False,OL,O,23.0,2001.0,0,0,1,8.0,8.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,2,0,0,7,1.75,0.392857143,7
Chris Redman,chris redman,2000,QB,QB,louisville,bal,3,75,False,QB,O,23.0,2011.0,0,0,0,9.0,3.0,30.0,286,500,3179,21,14,33,25,0,0,0,0,0,0,0.0,0,0,3,0,3,0.75,0.497695853,10
Chris Samuels,chris samuels,2000,OT,OL,alabama,was,1,3,False,OL,O,23.0,2009.0,0,6,9,63.0,63.0,141.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7,9,9,6,31,7.75,0.897321429,75
Clark Haggans,clark haggans,2000,LB,LB,colorado st.,pit,5,137,False,LB,D,23.0,2012.0,0,0,7,46.0,31.0,172.0,0,0,0,0,0,0,0,0,0,0,0,370,1,46.5,0,2,2,2,6,1.5,0.458248473,56
Cooper Carlisle,cooper carlisle,2000,OG,OL,florida,den,4,112,False,OL,O,23.0,2012.0,0,0,8,54.0,22.0,190.0,0,0,0,0,0,0,0,0,1,6,1,0,0,0.0,1,1,0,2,4,1.0,0.322916667,66
Corey Moore,corey moore,2000,LB,LB,virginia tech,buf,3,89,False,LB,D,23.0,2001.0,0,0,0,3.0,3.0,10.0,0,0,0,0,0,0,0,0,0,0,0,11,0,1.0,2,0,0,0,2,0.5,0.240325866,7
Corey Simon,corey simon,2000,DT,DL,florida st.,phi,1,6,False,DL,D,23.0,2007.0,0,1,6,45.0,41.0,95.0,0,0,0,0,0,0,0,0,0,0,0,194,0,32.0,9,10,8,10,37,9.25,0.964383562,50
Cornelius Griffin,cornelius griffin,2000,DT,DL,alabama,nyg,2,42,False,DL,D,23.0,2009.0,0,0,9,58.0,20.0,146.0,0,0,0,0,0,0,0,0,0,0,0,340,2,29.0,2,8,8,6,24,6.0,0.871232877,71
Cosey Coleman,cosey coleman,2000,OG,OL,tennessee,tam,2,51,False,OL,O,21.0,2006.0,0,0,6,35.0,27.0,100.0,0,0,0,0,0,0,0,0,1,5,0,0,0,0.0,1,8,6,7,22,5.5,0.797916667,39
Courtney Brown,courtney brown,2000,DE,DL,penn st.,cle,1,1,False,DL,D,22.0,2005.0,0,0,4,27.0,21.0,61.0,0,0,0,0,0,0,0,0,0,0,0,156,0,19.0,6,4,6,7,23,5.75,0.848635236,33
Curtis Keaton,curtis keaton,2000,RB,RB,james madison,cin,4,97,False,RB,O,23.0,2002.0,0,0,0,0.0,0.0,25.0,0,0,0,0,0,23,91,0,1,9,0,0,0,0.0,0,0,0,0,0,0.0,0.092741935,0
DaShon Polk,dashon polk,2000,LB,LB,arizona,buf,7,251,False,LB,D,23.0,2006.0,0,0,1,10.0,3.0,95.0,0,0,0,0,0,0,0,0,0,0,0,156,0,4.5,0,1,1,1,3,0.75,0.311608961,11
Damen Wheeler,damen wheeler,2000,DB,DB,colorado,sdg,6,203,False,DB,D,23.0,2001.0,0,0,0,0.0,,5.0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0,0,0,0,0,0.0,0.05942623,0
