player_name,player_name_clean,draft_year,college_season,position,position_group,school,countable_plays,avg_ppa_all,total_ppa_all,total_ppa_pass,total_ppa_rush,career_avg_ppa,career_total_ppa,ppa_per_play,pass_ppa_share,rush_ppa_share
Keith Mumphery,keith mumphery,2015,2013,WR,WR,michigan state,18.0,0.709,12.764,13.534,-0.77,1.773,58.528000000000006,0.709111111111111,1.0,0.0
Kennard Backman,kennard backman,2015,2013,TE,TE,uab,33.0,0.584,19.277,19.277,0.0,1.323,51.059,0.5841515151515152,1.0,0.0
Kenny Bell,kenny bell,2015,2013,WR,WR,nebraska,51.0,0.803,40.945,40.945,0.0,1.4500000000000002,92.745,0.802843137254902,1.0,0.0
Kenny Hilliard,kenny hilliard,2015,2013,RB,RB,lsu,62.0,-0.024,-1.463,-0.915,-0.548,0.209,19.741,-0.0235967741935483,0.6254272043745728,0.3745727956254272
Malcolm Johnson,malcolm johnson,2015,2013,TE,TE,mississippi state,34.0,0.593,20.16,20.16,0.0,1.382,51.708,0.5929411764705882,1.0,0.0
Marcus Mariota,marcus mariota,2015,2013,QB,QB,oregon,416.0,0.358,148.89,108.994,39.896,0.944,487.835,0.3579086538461538,0.7320437907179798,0.2679562092820203
Matt Jones,matt jones,2015,2013,RB,RB,florida,82.0,-0.001,-0.061,0.032,-0.092,0.031,5.963,-0.0007439024390243,0.0,1.0
Maxx Williams,maxx williams,2015,2013,TE,TE,minnesota,22.0,1.438,31.646,29.457,2.19,2.151,76.562,1.4384545454545454,0.930828540731846,0.0692030588383997
Melvin Gordon,melvin gordon,2015,2013,RB,RB,wisconsin,195.0,0.223,43.439,0.034,43.405,0.62,187.401,0.2227641025641025,0.0007827067842261,0.999217293215774
Mike Davis,mike davis,2015,2013,RB,RB,south carolina,224.0,0.164,36.787,23.598,13.19,0.402,92.657,0.1642276785714285,0.6414766085845544,0.3585505749313616
Nelson Agholor,nelson agholor,2015,2013,WR,WR,usc,52.0,1.307,67.946,68.432,-0.486,2.065,170.328,1.3066538461538462,1.0,0.0
Nick O'Leary,nick oleary,2015,2013,TE,TE,florida state,26.0,1.532,39.831,39.831,0.0,2.186,86.924,1.5319615384615386,1.0,0.0
Rory Anderson,rory anderson,2015,2013,TE,TE,south carolina,17.0,1.194,20.304,20.304,0.0,1.492,32.229,1.1943529411764704,1.0,0.0
Sammie Coates,sammie coates,2015,2013,WR,WR,auburn,33.0,1.2,39.602,39.602,0.0,1.7919999999999998,82.81299999999999,1.200060606060606,1.0,0.0
Sean Mannion,sean mannion,2015,2013,QB,QB,oregon state,556.0,0.248,137.783,142.506,-4.723,0.384,206.005,0.2478111510791366,1.0,0.0
Stefon Diggs,stefon diggs,2015,2013,WR,WR,maryland,40.0,0.981,39.22,38.201,1.019,1.387,76.154,0.9805,0.9740183579806222,0.0259816420193778
T.J. Yeldon,tj yeldon,2015,2013,RB,RB,alabama,208.0,0.19,39.621,13.54,26.081,0.441,93.49,0.1904855769230769,0.3417379672395951,0.6582620327604047
Tevin Coleman,tevin coleman,2015,2013,RB,RB,indiana,134.0,0.151,20.227,17.641,2.586,0.395,87.393,0.1509477611940298,0.8721510851831709,0.1278489148168289
Tony Lippett,tony lippett,2015,2013,WR,WR,michigan state,48.0,1.196,57.428,57.842,-0.414,2.13,155.488,1.196416666666667,1.0,0.0
