name,position,school,season,draft_year,countable_plays,avg_ppa_all,total_ppa_all,total_ppa_pass,total_ppa_rush,career_avg_ppa,career_total_ppa,ppa_per_play,pass_ppa_share,rush_ppa_share
Lynn Bowden Jr.,WR,kentucky,2017.0,2020.0,36.0,0.304,10.931,10.1,0.83,1.126,147.553,0.30363888888888885,0.9239776781630227,0.07593083889854542
Quez Watkins,WR,southern mississippi,2017.0,2020.0,43.0,0.314,13.509,13.509,0.0,1.721,155.446,0.31416279069767444,1.0,0.0
Raymond Calais,RB,louisiana,2016.0,2020.0,23.0,-0.015,-0.345,0.0,-0.345,0.858,77.111,-0.015,-0.0,1.0
Stephen Sullivan,TE,lsu,2017.0,2020.0,22.0,0.718,15.79,12.495,3.296,2.47,60.91,0.7177272727272727,0.7913236225459152,0.20873970867637745
Tee Higgins,WR,clemson,2017.0,2020.0,22.0,1.214,26.706,26.706,0.0,3.048,190.65,1.2139090909090908,1.0,0.0
Tua Tagovailoa,QB,alabama,2017.0,2020.0,103.0,0.383,39.479,29.144,10.335,1.665,438.9,0.3832912621359223,0.7382152536791712,0.2617847463208288
Tyler Johnson,WR,minnesota,2016.0,2020.0,17.0,0.445,7.57,7.57,0.0,2.938,255.795,0.44529411764705884,1.0,0.0
Tyrie Cleveland,WR,florida,2016.0,2020.0,26.0,0.626,16.284,16.284,0.0,2.707,82.649,0.6263076923076922,1.0,0.0
Zack Moss,RB,utah,2016.0,2020.0,83.0,0.03,2.53,-0.146,2.676,0.843,188.705,0.030481927710843373,0.0,1.0
Amari Rodgers,WR,clemson,2017.0,2021.0,26.0,-0.075,-1.957,1.665,-3.622,1.628,118.472,-0.07526923076923077,0.0,1.0
Amon-Ra St. Brown,WR,usc,2018.0,2021.0,72.0,0.691,49.771,49.602,0.169,1.998,156.382,0.6912638888888889,0.9966044483735508,0.003395551626449137
Anthony Schwartz,WR,auburn,2018.0,2021.0,58.0,0.601,34.881,22.986,11.896,1.718,114.147,0.601396551724138,0.6589834007052551,0.3410452681975861
Brevin Jordan,TE,miami,2018.0,2021.0,40.0,0.444,17.779,17.779,0.0,2.099,103.594,0.444475,1.0,0.0
Chris Evans,RB,michigan,2016.0,2021.0,94.0,0.215,20.237,8.155,12.082,1.036,79.819,0.21528723404255318,0.4029747492217226,0.5970252507782775
Chuba Hubbard,RB,oklahoma state,2018.0,2021.0,150.0,0.388,58.16,20.795,37.365,0.8310000000000001,179.704,0.3877333333333333,0.3575481430536452,0.642451856946355
D'Wayne Eskridge,WR,western michigan,2016.0,2021.0,24.0,0.253,6.08,7.228,-1.148,3.5,121.711,0.25333333333333335,1.0,0.0
Dax Milne,WR,byu,2018.0,2021.0,24.0,0.272,6.536,6.083,0.454,1.22,83.044,0.2723333333333333,0.9306915544675644,0.06946144430844554
Dazz Newsome,WR,north carolina,2017.0,2021.0,36.0,0.409,14.712,13.0,1.712,2.59,193.557,0.4086666666666667,0.8836324089178902,0.11636759108210984
Devonta Smith,WR,alabama,2017.0,2021.0,15.0,0.681,10.219,10.219,0.0,3.647,304.003,0.6812666666666666,1.0,0.0
Dez Fitzpatrick,WR,louisville,2017.0,2021.0,71.0,0.809,57.447,57.447,0.0,3.0700000000000003,184.015,0.8091126760563381,1.0,0.0
Dyami Brown,WR,north carolina,2018.0,2021.0,30.0,0.123,3.691,3.691,0.0,1.883,148.841,0.12303333333333333,1.0,0.0
Elijah Mitchell,RB,louisiana,2017.0,2021.0,36.0,0.246,8.856,0.862,7.994,1.299,200.228,0.246,0.09733514001806685,0.9026648599819331
Elijah Moore,WR,ole miss,2018.0,2021.0,51.0,0.362,18.454,19.585,-1.131,1.596,140.379,0.36184313725490197,1.0,0.0
Gary Brightwell,RB,arizona,2018.0,2021.0,92.0,0.063,5.836,-3.181,9.016,0.494,37.44,0.06343478260869566,0.0,1.0
Gerrid Doaks,RB,cincinnati,2017.0,2021.0,106.0,0.283,29.983,8.281,21.702,0.582,69.319,0.28285849056603773,0.27618984090984894,0.7238101590901511
Ian Book,QB,notre dame,2017.0,2021.0,112.0,0.218,24.362,9.857,14.505,1.343,538.58,0.21751785714285712,0.40460553320745424,0.5953944667925458
Ihmir Smith-Marsette,WR,iowa,2017.0,2021.0,25.0,0.231,5.764,5.319,0.445,1.846,109.294,0.23056000000000001,0.922796668979875,0.07720333102012492
Jaelon Darden,WR,north texas,2017.0,2021.0,50.0,0.135,6.763,8.354,-1.591,1.917,176.179,0.13526,1.0,0.0
Jake Funk,RB,maryland,2016.0,2021.0,36.0,0.118,4.245,5.483,-1.238,1.826,52.211,0.11791666666666667,1.0,0.0
Javonte Williams,RB,north carolina,2018.0,2021.0,52.0,0.345,17.956,-3.306,21.261,1.12,161.255,0.3453076923076923,0.0,1.0
Jaylen Waddle,WR,alabama,2018.0,2021.0,51.0,1.157,59.004,59.004,0.0,3.63,151.073,1.1569411764705881,1.0,0.0
Jermar Jefferson,RB,oregon state,2018.0,2021.0,268.0,0.196,52.427,6.62,45.807,0.59,110.341,0.1956231343283582,0.12627081465657009,0.8737291853434299
Josh Palmer,WR,tennessee,2017.0,2021.0,23.0,0.1,2.298,0.495,1.803,1.596,82.815,0.09991304347826087,0.2154046997389034,0.7845953002610966
Kadarius Toney,WR,florida,2017.0,2021.0,33.0,0.566,18.681,12.612,6.068,2.157,140.478,0.5660909090909091,0.6751244580054601,0.3248220116696108
Kellen Mond,QB,texas a&m,2017.0,2021.0,314.0,0.143,44.956,25.545,19.411,1.085,504.552,0.143171974522293,0.5682222617670611,0.43177773823293886
Kene Nwangwu,RB,iowa state,2016.0,2021.0,29.0,0.076,2.206,0.089,2.116,0.376,8.428,0.07606896551724138,0.040344514959202174,0.959202175883953
Kenneth Gainwell,RB,memphis,2019.0,2021.0,287.0,0.319,91.536,49.001,42.535,0.319,91.536,0.31894076655052267,0.5353194371613353,0.46468056283866455
Kyle Trask,QB,florida,2018.0,2021.0,27.0,0.31,8.363,7.666,0.697,1.208,419.846,0.3097407407407407,0.9166567021403803,0.08334329785961975
Kylin Hill,RB,mississippi state,2017.0,2021.0,78.0,0.162,12.639,3.629,9.011,0.8380000000000001,102.691,0.16203846153846152,0.287127146134979,0.7129519740485798
Larry Rountree Iii,RB,missouri,2017.0,2021.0,133.0,0.194,25.776,5.398,20.379,0.4679999999999999,88.082,0.19380451127819548,0.20941961514587212,0.7906191806331472
Mac Jones,QB,alabama,2018.0,2021.0,15.0,-0.116,-1.743,1.561,-3.304,1.018,366.633,-0.11620000000000001,0.0,1.0
Marquez Stevenson,WR,houston,2018.0,2021.0,128.0,0.643,82.288,76.169,6.119,2.071,163.914,0.642875,0.9256392183550457,0.07436078164495431
Michael Carter,RB,north carolina,2017.0,2021.0,112.0,0.197,22.068,6.571,15.496,0.853,133.803,0.1970357142857143,0.29776146456407465,0.7021932209534167
Najee Harris,RB,alabama,2017.0,2021.0,71.0,0.213,15.103,1.696,13.407,1.062,207.735,0.21271830985915494,0.11229557041647355,0.8877044295835265
Pat Freiermuth,TE,penn state,2018.0,2021.0,42.0,0.663,27.86,27.86,0.0,2.372,108.264,0.6633333333333333,1.0,0.0
Rashod Bateman,WR,minnesota,2018.0,2021.0,88.0,0.361,31.751,31.751,0.0,2.143,165.974,0.3608068181818182,1.0,0.0
Rondale Moore,WR,purdue,2018.0,2021.0,164.0,0.613,100.539,88.743,11.796,1.423,139.103,0.6130426829268293,0.8826723957867095,0.11732760421329036
Sam Ehlinger,QB,texas,2017.0,2021.0,390.0,0.13,50.856,31.015,19.841,1.209,644.0319999999999,0.13040000000000002,0.609859210319333,0.390140789680667
Seth Williams,WR,auburn,2018.0,2021.0,41.0,1.089,44.629,44.629,0.0,2.043,138.148,1.0885121951219512,1.0,0.0
Shi Smith,WR,south carolina,2017.0,2021.0,39.0,0.826,32.229,32.229,0.0,2.364,139.677,0.8263846153846154,1.0,0.0
Tommy Tremble,TE,notre dame,2019.0,2021.0,20.0,1.045,20.899,20.899,0.0,1.372,29.391,1.04495,1.0,0.0
Travis Etienne,RB,clemson,2017.0,2021.0,112.0,0.471,52.747,3.908,48.839,1.814,357.523,0.47095535714285713,0.07408952167895805,0.9259104783210419
Trevor Lawrence,QB,clemson,2018.0,2021.0,435.0,0.4,173.93,155.946,17.984,1.369,609.888,0.3998390804597701,0.8966020812970735,0.10339791870292647
Zach Wilson,QB,byu,2018.0,2021.0,255.0,0.325,82.769,56.697,26.072,1.188,381.845,0.32458431372549024,0.6850028392272469,0.314997160772753
