player_name (draft/basic),draft_year (draft/basic),category (draft/basic),draft_team (draft/basic),draft_round (draft/basic),draft_pick (draft/basic),school (shared_basic),has_pre_draft,has_combine_data (combine),forty_yd_dash (combine),vertical_jump (combine),bench_press (combine),broad_jump (combine),three_cone_drill (combine),twenty_yd_shuttle (combine),has_forty_yd_dash (combine),has_vertical_jump (combine),has_bench_press (combine),has_broad_jump (combine),has_three_cone_drill (combine),has_twenty_yd_shuttle (combine),height_in (combine),weight_lb (combine),predraft_total_yards,predraft_total_tds,predraft_total_opportunities,predraft_yards_per_game_unified,predraft_tds_per_game_unified,predraft_opportunities_per_game_unified,predraft_yards_per_opportunity_unified,predraft_tds_per_opportunity_unified,avg_ppa_all (pre_draft),ppa_per_play (pre_draft),career_avg_ppa (pre_draft),career_total_ppa (pre_draft),age (post_draft),to (post_draft),games (post_draft),w_av (post_draft),dr_av (post_draft),car_av_filled (post_draft),allpro (post_draft),probowls (post_draft),hof (post_draft),seasons_started (post_draft),AV_year1 (post_draft),AV_year2 (post_draft),AV_year3 (post_draft),AV_year4 (post_draft),AV_4yr_sum (post_draft),AV_4yr_avg (post_draft),AV_4yr_avg_percentile (post_draft)
Peria Jerry,2009,DL,atl,1,24,mississippi,1,1,4.98,,,,,,1,0,0,0,0,0,74,299,0,0,0,0,0,0,,,,,,,25,2013,64,13,13,14,0,0,FALSE,2,1,1,3,4,9,2.25,0.567123288
Phil Loadholt,2009,OL,min,2,54,oklahoma,1,1,5.45,29,24,95,8.18,5.06,1,1,1,1,1,1,80,332,5,0,0,1,0,0,,,,,,,23,2014,89,36,36,41,0,0,FALSE,6,8,6,8,7,29,7.25,0.87202381
Quinn Johnson,2009,RB,gnb,5,145,lsu,1,1,4.72,32,16,115,,,1,1,1,1,0,0,73,246,61,3,16,6.777777778,0.333333333,1.777777778,3.8125,0.1875,,,,,22,2013,44,0,0,0,0,0,FALSE,1,0,0,0,0,0,0,0.092741935
Quinten Lawrence,2009,WR,kan,6,175,mcneese st.,1,1,4.4,,20,,,,1,0,1,0,0,0,72,184,73,0,4,73,0,4,18.25,0,,,,,24,2009,6,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.1152513
Ra'Shon Harris,2009,DL,pit,6,205,oregon,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,23,2009,2,0,,0,0,0,FALSE,0,0,0,0,0,0,0,0.061643836
Ramses Barden,2009,WR,nyg,3,85,cal poly-san luis obispo,1,1,4.51,33.5,17,118,,4.26,1,1,1,1,0,1,78,229,244,2,13,122,1,6.5,18.76923077,0.153846154,,,,,23,2012,29,5,5,5,0,0,FALSE,0,0,1,1,3,5,1.25,0.505199307
Rashad Jennings,2009,RB,jax,7,250,liberty,0,1,4.52,34,29,120,6.86,4.2,1,1,1,1,1,1,73,231,0,0,0,,,,,,,,,,24,2016,93,31,9,35,0,0,FALSE,5,2,6,0,2,10,2.5,0.591397849
Rashad Johnson,2009,DB,ari,3,95,alabama,1,1,4.49,37,15,120,7.09,4.23,1,1,1,1,1,1,71,203,0,0,0,0,0,0,,,,,,,23,2016,114,25,23,28,0,0,FALSE,4,1,1,4,3,9,2.25,0.602459016
Rey Maualuga,2009,LB,cin,2,38,usc,1,1,4.91,,23,83,,,1,0,1,1,0,0,74,249,0,0,0,0,0,0,,,,,,,22,2017,120,49,47,58,0,0,FALSE,9,7,7,7,9,30,7.5,0.916496945
Rhett Bomar,2009,QB,nyg,5,151,sam houston st.,1,1,4.7,,25,106,6.91,4.06,1,0,1,1,1,1,74,225,355,2,53,355,2,53,6.698113208,0.037735849,,,,,24,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.161290323
Rich Ohrnberger,2009,OL,nwe,4,123,penn st.,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,23,2014,39,8,0,8,0,0,FALSE,1,0,0,0,2,2,0.5,0.260416667
Richard Quinn,2009,TE,den,2,64,north carolina,1,1,4.88,32.5,24,119,7.5,4.62,1,1,1,1,1,1,76,264,97,1,8,10.77777778,0.111111111,0.888888889,12.125,0.125,,,,,23,2011,30,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.141263941
Ricky Jean-Francois,2009,DL,sfo,7,244,lsu,1,1,5.19,26,25,93,,,1,1,1,1,0,0,75,295,0,0,0,0,0,0,,,,,,,22,2018,137,23,5,27,0,0,FALSE,4,0,1,2,3,6,1.5,0.445205479
Robert Ayers,2009,DL,den,1,18,tennessee,1,1,4.77,29.5,18,102,7.56,4.51,1,1,1,1,1,1,75,272,0,0,0,0,0,0,,,,,,,24,2017,120,27,13,32,0,0,FALSE,5,2,3,6,2,13,3.25,0.655086849
Robert Brewster,2009,OL,dal,3,75,ball st.,1,1,5.29,30.5,23,98,7.68,4.75,1,1,1,1,1,1,76,325,0,0,0,0,0,0,,,,,,,23,2010,1,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.063988095
Robert Henson,2009,LB,was,6,186,tcu,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,23,2009,6,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.061099796
Ron Brace,2009,DL,nwe,2,40,boston col.,1,1,5.48,28,32,99,8.15,4.73,1,1,1,1,1,1,75,330,0,0,0,0,0,0,,,,,,,22,2012,39,6,6,6,0,0,FALSE,1,2,3,0,1,6,1.5,0.445205479
Roy Miller,2009,DL,tam,3,81,texas,1,1,4.93,32,36,103,8.01,4.74,1,1,1,1,1,1,73,310,0,0,0,0,0,0,,,,,,,22,2017,119,33,15,38,0,0,FALSE,5,2,7,2,6,17,4.25,0.782191781
Ryan Durand,2009,OL,ten,7,239,syracuse,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,23,2010,1,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.085416667
Ryan Mouton,2009,DB,ten,3,94,hawaii,1,1,4.47,39.5,18,129,,,1,1,1,1,0,0,69,187,71,0,10,5.461538462,0,0.769230769,7.1,0,,,,,22,2012,36,4,4,4,0,0,FALSE,0,2,1,0,1,4,1,0.369535519
Ryan Succop,2009,K,kan,7,256,south carolina,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,22,2022,216,29,11,34,0,0,FALSE,1,4,2,3,3,12,3,0.802631579
Sammie Lee Hill,2009,DL,det,4,115,stillman,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,22,2015,97,21,9,24,0,0,FALSE,3,4,2,3,2,11,2.75,0.630136986
Sammie Stroughter,2009,WR,tam,7,233,oregon st.,1,1,4.45,30,13,110,7.03,4.28,1,1,1,1,1,1,69,189,1092,7,78,84,0.538461538,6,14,0.08974359,,,,,23,2012,33,5,5,5,0,0,FALSE,0,3,2,0,0,5,1.25,0.505199307
Scott McKillop,2009,LB,sfo,5,146,pittsburgh,1,1,4.7,35.5,27,119,7,4.39,1,1,1,1,1,1,73,244,0,0,0,0,0,0,,,,,,,23,2009,16,2,2,2,0,0,FALSE,0,2,0,0,0,2,0.5,0.240325866
Sean Smith,2009,DB,mia,2,61,utah,1,1,4.47,34,10,119,6.92,4.15,1,1,1,1,1,1,75,214,0,0,0,0,0,0,,,,,,,22,2017,137,38,20,46,0,0,FALSE,8,5,3,7,7,22,5.5,0.890027322
Sebastian Vollmer,2009,OL,nwe,2,58,houston,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,25,2015,88,52,52,57,0,0,FALSE,5,5,18,3,10,36,9,0.961309524
Sen'Derrick Marks,2009,DL,ten,2,62,auburn,1,1,5,33,,,,,1,1,0,0,0,0,74,306,0,0,0,0,0,0,,,,,,,22,2016,103,27,11,30,0,0,FALSE,4,1,2,5,5,13,3.25,0.695890411
Seth Olsen,2009,OL,den,4,132,iowa,0,1,5.23,24.5,23,90,7.59,4.7,1,1,1,1,1,1,77,306,0,0,0,,,,,,,,,,23,2012,14,3,0,3,0,0,FALSE,0,0,0,1,2,3,0.75,0.29375
Shawn Nelson,2009,TE,buf,4,121,southern miss,1,1,4.52,33,19,115,6.96,4.46,1,1,1,1,1,1,77,240,557,3,53,46.41666667,0.25,4.416666667,10.50943396,0.056603774,,,,,23,2010,17,1,1,1,0,0,FALSE,1,1,0,0,0,1,0.25,0.323420074
Sherrod Martin,2009,DB,car,2,59,troy,1,1,4.43,36,12,123,6.6,3.98,1,1,1,1,1,1,73,198,0,0,0,0,0,0,,,,,,,24,2015,84,16,13,17,0,0,FALSE,2,3,5,5,1,14,3.5,0.724726776
Shonn Greene,2009,RB,nyj,3,65,iowa,1,1,4.55,37,19,121,7.1,4.4,1,1,1,1,1,1,70,227,1899,20,315,146.0769231,1.538461538,24.23076923,6.028571429,0.063492063,,,,,24,2014,85,23,20,25,0,0,FALSE,2,3,5,7,6,21,5.25,0.801075269
Slade Norris,2009,DL,oak,4,126,oregon st.,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,23,2010,9,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.066997519
Spencer Adkins,2009,LB,atl,6,176,miami (fl),1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,22,2011,24,2,2,2,0,0,FALSE,0,0,1,1,0,2,0.5,0.240325866
Stanley Arnoux,2009,LB,nor,4,118,wake forest,1,1,4.56,31.5,19,121,7.22,4.39,1,1,1,1,1,1,72,232,0,0,0,0,0,0,,,,,,,22,2010,9,1,1,1,0,0,FALSE,0,0,1,0,0,1,0.25,0.15885947
Stephen Hodge,2009,DB,dal,6,197,tcu,1,0,4.59,35,22,115,7.21,4.34,1,1,1,1,1,1,72,234,0,0,0,0,0,0,,,,,,,22,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.05942623
Stephen McGee,2009,QB,dal,4,101,texas aandm,1,1,4.61,33,,112,7.34,4.49,1,1,0,1,1,1,75,225,536,2,102,89.33333333,0.333333333,17,5.254901961,0.019607843,,,,,23,2011,3,2,2,2,0,0,FALSE,0,0,1,1,0,2,0.5,0.451612903
T.J. Lang,2009,OL,gnb,4,109,east. michigan,1,0,,,,,,,,,,,,,,,-4,0,0,-1,0,0,,,,,,,21,2018,138,61,53,73,0,2,FALSE,7,4,1,12,9,26,6.5,0.830357143
Terrance Knighton,2009,DL,jax,3,72,temple,1,1,4.93,28,,103,7.9,4.78,1,1,0,1,1,1,75,321,0,0,0,0,0,0,,,,,,,23,2015,108,37,18,42,0,0,FALSE,6,7,5,6,3,21,5.25,0.836986301
Thomas Morstead,2009,P,nor,5,164,smu,1,1,4.83,,19,,,,1,0,1,0,0,0,76,225,34,0,1,2.833333333,0,0.083333333,34,0,,,,,23,2022,221,26,24,32,0,1,FALSE,1,2,3,3,4,12,3,0.942857143
Tiquan Underwood,2009,WR,jax,7,253,rutgers,1,1,4.31,41.5,7,129,6.62,4.11,1,1,1,1,1,1,73,184,494,5,40,41.16666667,0.416666667,3.333333333,12.35,0.125,,,,,22,2013,45,9,1,9,0,0,FALSE,1,0,1,0,4,5,1.25,0.505199307
Tom Brandstater,2009,QB,den,6,174,fresno st.,1,1,4.87,28.5,,106,6.93,4.37,1,1,0,1,1,1,77,220,2614,22,422,201.0769231,1.692307692,32.46153846,6.194312796,0.052132701,,,,,24,2011,1,0,,0,0,0,FALSE,0,0,0,0,0,0,0,0.161290323
Tony Fiammetta,2009,RB,car,4,128,syracuse,1,1,4.58,34,30,112,7.31,4.49,1,1,1,1,1,1,72,245,193,1,21,19.3,0.1,2.1,9.19047619,0.047619048,,,,,23,2014,51,1,0,1,0,0,FALSE,2,0,0,0,0,0,0,0.092741935
Travis Beckum,2009,TE,nyg,3,100,wisconsin,1,1,4.61,,28,,,,1,0,1,0,0,0,75,243,264,0,23,44,0,3.833333333,11.47826087,0,,,,,22,2012,48,2,2,2,0,0,FALSE,0,0,1,1,0,2,0.5,0.431226766
Trevor Canfield,2009,OL,ari,7,254,cincinnati,1,1,5.28,,29,,,,1,0,1,0,0,0,76,307,0,0,0,0,0,0,,,,,,,23,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.085416667
Troy Kropog,2009,OL,ten,4,135,tulane,1,1,5.3,30,21,100,7.65,4.84,1,1,1,1,1,1,77,309,0,0,0,0,0,0,,,,,,,23,2012,7,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.063988095
Troy Nolan,2009,DB,hou,7,223,arizona st.,1,1,4.58,31.5,12,117,7.06,4.3,1,1,1,1,1,1,72,206,0,0,0,0,0,0,,,,,,,23,2012,38,5,5,5,0,0,FALSE,0,0,2,2,1,5,1.25,0.433743169
Tyrone McKenzie,2009,LB,nwe,3,97,south florida,1,1,4.76,,27,112,,,1,0,1,1,0,0,74,243,0,0,0,0,0,0,,,,,,,23,2012,19,1,,1,0,0,FALSE,0,0,0,0,1,1,0.25,0.15885947
Tyronne Green,2009,OL,sdg,4,133,auburn,1,1,5.4,,22,,,,1,0,1,0,0,0,74,309,0,0,0,0,0,0,,,,,,,23,2012,41,15,15,16,0,0,FALSE,2,0,5,5,6,16,4,0.658333333
Tyson Jackson,2009,DL,kan,1,3,lsu,1,1,4.94,28.5,,102,7.64,4.8,1,1,0,1,1,1,76,296,0,0,0,0,0,0,,,,,,,23,2016,122,34,23,40,0,0,FALSE,7,6,3,6,6,21,5.25,0.82630273
Vance Walker,2009,DL,atl,7,210,georgia tech,1,1,5.32,33,29,,,,1,1,1,0,0,0,74,304,0,0,0,0,0,0,,,,,,,22,2015,104,21,9,23,0,0,FALSE,1,1,2,2,5,10,2.5,0.598630137
Vaughn Martin,2009,DL,sdg,4,113,western ontario,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,23,2013,51,12,12,12,0,0,FALSE,2,1,1,5,5,12,3,0.664383562
Victor Butler,2009,LB,dal,4,110,oregon st.,1,1,4.72,33,24,113,7.21,4.4,1,1,1,1,1,1,74,248,0,0,0,0,0,0,,,,,,,22,2014,65,6,6,6,0,0,FALSE,0,2,1,1,2,6,1.5,0.458248473
Victor Harris,2009,DB,phi,5,157,virginia tech,1,0,,,,,,,,,,,,,,,111,0,13,8.538461538,0,1,8.538461538,0,,,,,23,2010,18,3,3,3,0,0,FALSE,0,3,0,0,0,3,0.75,0.305327869
Vontae Davis,2009,DB,mia,1,25,illinois,1,1,4.4,36,25,125,6.75,4.07,1,1,1,1,1,1,71,203,0,0,0,0,0,0,,,,,,,21,2018,121,45,12,53,0,2,FALSE,8,4,5,6,4,19,4.75,0.842213115
Will Beatty,2009,OL,nyg,2,60,connecticut,1,1,5.06,33.5,27,107,7.62,4.77,1,1,1,1,1,1,78,307,0,0,0,0,0,0,,,,,,,24,2017,89,30,30,33,0,0,FALSE,4,4,2,5,8,19,4.75,0.665178571
Will Davis,2009,DL,ari,6,204,illinois,1,1,4.84,33,27,115,7.38,4.45,1,1,1,1,1,1,74,261,0,0,0,0,0,0,,,,,,,23,2010,21,3,3,3,0,0,FALSE,0,1,2,0,0,3,0.75,0.32630273
William Middleton,2009,DB,atl,5,138,furman,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,23,2012,49,8,,8,0,0,FALSE,1,1,2,3,2,8,2,0.569672131
William Moore,2009,DB,atl,2,55,missouri,1,1,4.49,37,16,123,6.81,4.26,1,1,1,1,1,1,72,221,0,0,0,0,0,0,,,,,,,24,2015,76,30,30,33,0,1,FALSE,5,0,7,5,9,21,5.25,0.87568306
Xavier Fulton,2009,OL,tam,5,155,illinois,1,1,5.01,31,27,111,7.35,4.56,1,1,1,1,1,1,76,302,0,0,0,0,0,0,,,,,,,23,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.063988095
Zach Miller,2009,TE,jax,6,180,nebraska-omaha,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,24,2017,66,12,4,45,0,0,FALSE,2,7,8,2,4,21,5.25,0.942379182
Zack Follett,2009,LB,det,7,235,california,1,1,4.69,37,,117,7.31,,1,1,0,1,1,0,74,236,0,0,0,0,0,0,,,,,,,22,2010,17,2,2,2,0,0,FALSE,0,1,1,0,0,2,0.5,0.240325866
A.J. Edds,2010,LB,mia,4,119,iowa,1,1,4.62,33,16,117,7.19,4.28,1,1,1,1,1,1,76,246,0,0,0,0,0,0,,,,,,,22,2014,17,1,,1,0,0,FALSE,0,0,1,0,0,1,0.25,0.15885947
Aaron Hernandez,2010,TE,nwe,4,113,florida,1,1,4.64,,,,,,1,0,0,0,0,0,74,245,866,5,69,66.61538462,0.384615385,5.307692308,12.55072464,0.072463768,,,,,20,2012,38,21,21,22,0,0,FALSE,2,7,10,5,0,22,5.5,0.953531599
Adrian Tracy,2010,DL,nyg,6,184,william and mary,1,0,4.76,35.5,20,110,7.08,4.34,1,1,1,1,1,1,75,248,0,0,0,0,0,0,,,,,,,23,2012,16,1,1,1,0,0,FALSE,0,0,0,1,0,1,0.25,0.183622829
Akwasi Owusu-Ansah,2010,DB,dal,4,126,indiana (pa),0,1,4.32,35.5,,120,6.84,4.32,1,1,0,1,1,1,72,207,0,0,0,,,,,,,,,,22,2013,15,1,0,1,0,0,FALSE,0,0,1,0,0,1,0.25,0.164617486
Al Woods,2010,DL,nor,4,123,lsu,1,1,5.15,37,,109,7.45,4.67,1,1,0,1,1,1,76,309,0,0,0,0,0,0,,,,,,,23,2022,155,33,,27,0,0,FALSE,6,1,0,1,2,4,1,0.332876712
Alex Carrington,2010,DL,buf,3,72,arkansas st.,1,1,4.92,,26,,,,1,0,1,0,0,0,77,285,0,0,0,0,0,0,,,,,,,23,2015,59,7,6,8,0,0,FALSE,1,1,3,1,1,6,1.5,0.470223325
Alterraun Verner,2010,DB,ten,4,104,ucla,1,1,4.52,32,11,116,6.7,4.12,1,1,1,1,1,1,70,189,0,0,0,0,0,0,,,,,,,21,2017,125,33,26,37,0,1,FALSE,4,5,3,6,13,27,6.75,0.948770492
Amari Spievey,2010,DB,det,3,66,iowa,1,1,4.52,35,,116,,,1,1,0,1,0,0,71,195,0,0,0,0,0,0,,,,,,,22,2012,35,11,11,11,0,0,FALSE,2,3,7,1,0,11,2.75,0.659836066
Andre Roberts,2010,WR,ari,3,88,the citadel,1,1,4.4,36,15,120,6.77,4.15,1,1,1,1,1,1,71,195,30,0,10,30,0,10,3,0,,,,,22,2022,182,24,14,27,1,3,FALSE,2,2,4,5,4,15,3.75,0.735701906
Andrew Quarless,2010,TE,gnb,5,154,penn st.,1,1,4.68,32,23,112,,,1,1,1,1,0,0,76,254,536,3,41,41.23076923,0.230769231,3.153846154,13.07317073,0.073170732,,,,,21,2015,60,9,9,9,0,0,FALSE,2,2,0,0,3,5,1.25,0.600371747
Anthony Davis,2010,OL,sfo,1,11,rutgers,1,1,5.36,33,21,99,8.17,4.97,1,1,1,1,1,1,77,323,4,1,1,1.333333333,0.333333333,0.333333333,4,1,,,,,20,2016,72,31,31,49,0,0,FALSE,4,7,8,8,8,31,7.75,0.897321429
Anthony Dixon,2010,RB,sfo,6,173,mississippi st.,1,1,4.67,33,15,121,7.09,4.49,1,1,1,1,1,1,73,233,1514,12,275,137.6363636,1.090909091,25,5.505454545,0.043636364,,,,,22,2015,96,7,3,7,0,0,FALSE,0,1,1,0,1,3,0.75,0.333333333
Anthony McCoy,2010,TE,sea,6,185,usc,1,1,4.71,35.5,19,113,6.99,4.57,1,1,1,1,1,1,76,259,459,1,23,45.9,0.1,2.3,19.95652174,0.043478261,,,,,22,2015,41,4,4,4,0,0,FALSE,1,0,1,3,0,4,1,0.555762082
Antonio Brown,2010,WR,pit,6,195,central michigan,1,1,4.56,33.5,13,105,6.98,4.18,1,1,1,1,1,1,70,186,1572,12,156,112.2857143,0.857142857,11.14285714,10.07692308,0.076923077,,,,,22,2021,146,92,86,107,4,7,FALSE,7,2,10,6,14,32,8,0.928942808
Armanti Edwards,2010,WR,car,3,89,appalachian st.,0,1,4.41,,,,,,1,0,0,0,0,0,71,187,0,0,0,,,,,,,,,,22,2013,41,1,1,1,0,0,FALSE,0,0,0,1,0,1,0.25,0.280762565
Arrelious Benn,2010,WR,tam,2,39,illinois,1,1,4.57,37,20,118,,,1,1,1,1,0,0,73,219,513,3,45,42.75,0.25,3.75,11.4,0.066666667,,,,,21,2017,61,8,7,8,0,0,FALSE,2,4,3,0,0,7,1.75,0.576256499
Arthur Jones,2010,DL,bal,5,157,syracuse,1,1,5.04,,,,,,1,0,0,0,0,0,75,301,0,0,0,0,0,0,,,,,,,24,2017,64,18,14,19,0,0,FALSE,2,0,2,4,8,14,3.5,0.682382134
Arthur Moats,2010,LB,buf,6,178,james madison,1,1,4.64,36.5,24,122,7.22,4.37,1,1,1,1,1,1,72,246,0,0,0,0,0,0,,,,,,,22,2017,121,22,10,25,0,0,FALSE,3,2,1,2,6,11,2.75,0.604887984
Austen Lane,2010,DL,jax,5,153,murray st.,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,22,2013,30,7,7,7,0,0,FALSE,2,3,1,3,0,7,1.75,0.507444169
Austin Spitler,2010,LB,mia,7,252,ohio st.,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,23,2013,55,5,5,5,0,0,FALSE,0,1,2,1,1,5,1.25,0.413441955
Ben Tate,2010,RB,hou,2,58,auburn,1,1,4.34,40.5,26,124,6.91,4.12,1,1,1,1,1,1,71,220,1467,10,283,112.8461538,0.769230769,21.76923077,5.183745583,0.035335689,,,,,22,2014,51,14,13,15,0,0,FALSE,0,0,7,2,4,13,3.25,0.663978495
Brandon Deaderick,2010,DL,nwe,7,247,alabama,1,1,5.08,,,,,,1,0,0,0,0,0,76,314,0,0,0,0,0,0,,,,,,,23,2014,60,9,8,10,0,0,FALSE,0,2,3,3,1,9,2.25,0.547146402
Brandon Ghee,2010,DB,cin,3,96,wake forest,1,1,4.37,37,15,127,6.75,4.07,1,1,1,1,1,1,72,192,0,0,0,0,0,0,,,,,,,23,2014,29,2,1,2,0,0,FALSE,0,0,0,0,1,1,0.25,0.164617486
Brandon Graham,2010,DL,phi,1,13,michigan,1,0,4.71,,31,,,,1,0,1,0,0,0,73,268,0,0,0,0,0,0,,,,,,,22,2022,178,57,57,66,0,1,FALSE,6,3,0,4,1,8,2,0.527295285
Brandon LaFell,2010,WR,car,3,78,lsu,1,1,4.58,36,,115,6.81,4.23,1,1,0,1,1,1,74,211,805,11,62,61.92307692,0.846153846,4.769230769,12.98387097,0.177419355,,,,,23,2018,125,43,19,50,0,0,FALSE,5,3,6,6,7,22,5.5,0.845753899
Brandon Spikes,2010,LB,nwe,2,62,florida,1,1,5.05,29,,111,6.97,,1,1,0,1,1,0,75,249,0,0,0,0,0,0,,,,,,,23,2016,78,25,19,27,0,0,FALSE,5,4,3,7,6,20,5,0.785132383
Brian Price,2010,DL,tam,2,35,ucla,1,1,5.12,28.5,34,96,,,1,1,1,1,0,0,73,303,0,0,0,0,0,0,,,,,,,21,2011,20,4,4,6,0,0,FALSE,1,0,4,0,0,4,1,0.332876712
Brody Eldridge,2010,TE,ind,5,162,oklahoma,1,1,4.72,31.5,,,,,1,1,0,0,0,0,77,261,19,0,2,4.75,0,0.5,9.5,0,,,,,23,2011,27,0,0,0,0,0,FALSE,2,0,0,0,0,0,0,0.141263941
Bruce Campbell,2010,OL,oak,4,106,maryland,1,1,4.75,32,34,101,7.58,4.69,1,1,1,1,1,1,78,314,0,0,0,0,0,0,,,,,,,22,2012,19,1,1,1,0,0,FALSE,0,1,0,0,0,1,0.25,0.151785714
Bryan Bulaga,2010,OL,gnb,1,23,iowa,1,1,5.2,27.5,26,98,7.7,4.75,1,1,1,1,1,1,77,314,0,0,0,0,0,0,,,,,,,21,2021,126,56,53,68,0,0,FALSE,9,7,9,5,0,21,5.25,0.709821429
C.J. Spiller,2010,RB,buf,1,9,clemson,1,1,4.37,,18,,,,1,0,1,0,0,0,71,196,1732,17,254,123.7142857,1.214285714,18.14285714,6.818897638,0.066929134,,,,,23,2017,90,34,32,37,0,1,FALSE,3,4,6,13,7,30,7.5,0.892473118
C.J. Wilson,2010,DL,gnb,7,230,east carolina,1,1,4.83,33,32,116,,4.77,1,1,1,1,0,1,75,290,0,0,0,0,0,0,,,,,,,23,2016,84,13,7,16,0,0,FALSE,2,3,2,3,1,9,2.25,0.547146402
Cam Thomas,2010,DL,sdg,5,146,north carolina,1,1,5.16,29,31,102,7.68,4.78,1,1,1,1,1,1,76,330,0,0,0,0,0,0,,,,,,,23,2017,103,16,9,18,0,0,FALSE,2,1,2,2,5,10,2.5,0.598630137
Cameron Sheffield,2010,DL,kan,5,142,troy,1,0,4.92,33,,115,7.23,4.53,1,1,0,1,1,1,74,257,0,0,0,0,0,0,,,,,,,22,2012,17,1,1,1,0,0,FALSE,0,0,1,0,0,1,0.25,0.183622829
Carlos Dunlap,2010,DL,cin,2,54,florida,1,1,4.68,31.5,21,111,7.21,4.61,1,1,1,1,1,1,78,277,0,0,0,0,0,0,,,,,,,21,2022,197,67,62,80,0,2,FALSE,7,2,2,5,10,19,4.75,0.789081886
Carlton Mitchell,2010,WR,cle,6,177,south florida,1,1,4.46,36,16,122,6.96,4.55,1,1,1,1,1,1,75,215,706,4,40,64.18181818,0.363636364,3.636363636,17.65,0.1,,,,,22,2011,16,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.1152513
Charles Brown,2010,OL,nor,2,64,usc,1,1,5.21,31.5,21,,,,1,1,1,0,0,0,77,303,0,0,0,0,0,0,,,,,,,23,2015,54,15,15,16,0,0,FALSE,1,0,4,3,8,15,3.75,0.592261905
Chris Cook,2010,DB,min,2,34,virginia,1,1,4.45,38,7,132,6.88,4.23,1,1,1,1,1,1,74,212,0,0,0,0,0,0,,,,,,,23,2014,40,10,10,10,0,0,FALSE,2,2,1,3,4,10,2.5,0.631830601
Chris DeGeare,2010,OL,min,5,161,wake forest,1,1,5.12,32.5,27,103,7.84,4.9,1,1,1,1,1,1,76,325,0,0,0,0,0,0,,,,,,,23,2010,8,2,2,2,0,0,FALSE,0,2,0,0,0,2,0.5,0.260416667
Chris Scott,2010,OL,pit,5,151,tennessee,1,1,5.52,22.5,19,90,8.24,5.03,1,1,1,1,1,1,77,319,0,0,0,0,0,0,,,,,,,23,2016,45,9,0,9,0,0,FALSE,0,0,0,0,4,4,1,0.322916667
Clay Harbor,2010,TE,phi,4,125,missouri state,1,0,4.62,40,30,120,,4.37,1,1,1,1,0,1,75,252,61,0,4,61,0,4,15.25,0,,,,,23,2016,98,7,3,8,0,0,FALSE,2,1,1,1,2,5,1.25,0.600371747
Clifton Geathers,2010,DL,cle,6,186,south carolina,1,1,4.98,36,26,112,7.69,,1,1,1,1,1,0,79,299,0,0,0,0,0,0,,,,,,,22,2014,37,3,,3,0,0,FALSE,0,0,0,1,1,2,0.5,0.267990074
Cody Grimm,2010,DB,tam,7,210,virginia tech,1,1,4.55,35.5,11,117,6.58,,1,1,1,1,1,0,71,203,0,0,0,0,0,0,,,,,,,23,2012,23,5,5,5,0,0,FALSE,1,4,1,0,0,5,1.25,0.433743169
Colt McCoy,2010,QB,cle,3,85,texas,1,1,4.79,,,114,,,1,0,0,1,0,0,73,216,3869,30,599,276.3571429,2.142857143,42.78571429,6.459098497,0.050083472,,,,,24,2022,56,17,9,14,0,0,FALSE,2,4,5,0,0,9,2.25,0.66359447
Corey Peters,2010,DL,atl,3,83,kentucky,1,1,4.98,33,,98,7.56,4.76,1,1,0,1,1,1,75,300,0,0,0,0,0,0,,,,,,,22,2022,164,49,23,55,0,0,FALSE,9,7,8,4,6,25,6.25,0.884931507
Corey Wootton,2010,DL,chi,4,109,northwestern,1,1,4.92,,20,,,,1,0,1,0,0,0,78,270,0,0,0,0,0,0,,,,,,,23,2014,60,14,12,15,0,0,FALSE,1,1,1,5,6,13,3.25,0.655086849
